Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9964,0.0,0.0036,1.935,2.91303
complex_4_a,contained,reverse,G,0.9906,0.0018,0.0076,4.3058,5.53373
complex_4_a,contained,none,G,0.99,0.0,0.01,5.7498,6.63591
porous_2_b,contained,forward,G,0.9706,0.0282,0.0012,5.8076,4.82229
porous_2_b,contained,reverse,G,0.9368,0.0606,0.0026,8.0924,6.08882
porous_2_b,contained,none,G,0.9718,0.0274,0.0008,4.9992,3.96617
complex_2_a,contained,forward,G,0.9648,0.0,0.0352,12.3582,6.60713
complex_2_a,contained,reverse,G,0.9012,0.0002,0.0986,32.924,14.41172
complex_2_a,contained,none,G,0.9226,0.0,0.0774,25.7966,11.88983
complex_6_b,contained,forward,G,0.521,0.0,0.479,38.1394,19.58523
complex_6_b,contained,reverse,G,0.211,0.0,0.789,44.8884,27.21191
complex_6_b,contained,none,G,0.3368,0.0,0.6632,45.6916,24.67361
size_6_b,contained,forward,G,0.9992,0.0,0.0008,2.0732,2.33482
size_6_b,contained,reverse,G,0.9882,0.0004,0.0114,8.2798,7.66342
size_6_b,contained,none,G,0.9906,0.0,0.0094,6.1974,5.67189
porous_5_b,contained,forward,G,0.884,0.0132,0.1028,24.8298,10.53599
porous_5_b,contained,reverse,G,0.7806,0.0328,0.1866,34.2902,16.57561
porous_5_b,contained,none,G,0.8274,0.018,0.1546,31.4492,14.12902
size_3_a,contained,forward,G,0.9776,0.0022,0.0202,19.9464,6.57762
size_3_a,contained,reverse,G,0.9552,0.0066,0.0382,44.3774,10.04714
size_3_a,contained,none,G,0.9704,0.001,0.0286,30.856,8.59387
size_6_c,contained,forward,G,0.9936,0.0,0.0064,2.2084,3.18368
size_6_c,contained,reverse,G,0.9596,0.0,0.0404,8.5658,10.1799
size_6_c,contained,none,G,0.9686,0.0,0.0314,6.2948,7.29162
size_1_a,contained,forward,G,0.9888,0.0032,0.008,8.3242,6.84176
size_1_a,contained,reverse,G,0.9872,0.0032,0.0096,8.3772,7.10078
size_1_a,contained,none,G,0.9786,0.01,0.0114,8.382,6.63297
porous_5_a,contained,forward,G,0.8848,0.0012,0.114,24.8178,10.73477
porous_5_a,contained,reverse,G,0.7856,0.0,0.2144,34.3572,17.02539
porous_5_a,contained,none,G,0.8298,0.0,0.1702,31.969,14.57379
complex_6_c,contained,forward,G,0.5478,0.0,0.4522,42.046,19.14977
complex_6_c,contained,reverse,G,0.244,0.0,0.756,58.3076,26.77207
complex_6_c,contained,none,G,0.3788,0.0,0.6212,53.6338,24.06683
complex_4_b,contained,forward,G,0.9578,0.0,0.0422,6.5256,4.19189
complex_4_b,contained,reverse,G,0.889,0.0016,0.1094,15.5098,8.96363
complex_4_b,contained,none,G,0.8128,0.0,0.1872,27.326,13.93276
complex_1_a,contained,forward,G,0.9982,0.0,0.0018,2.1654,2.28559
complex_1_a,contained,reverse,G,0.983,0.0,0.017,9.1146,9.31522
complex_1_a,contained,none,G,0.9842,0.0,0.0158,7.6908,7.29675
size_6_a,contained,forward,G,0.9442,0.0326,0.0232,2.8744,2.4908
