Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9804,0.0,0.0196,1.9734,2.95841
complex_4_a,contained,reverse,G,0.9592,0.0012,0.0396,4.2838,5.49268
complex_4_a,contained,none,G,0.9536,0.0,0.0464,5.6636,6.50215
porous_2_b,contained,forward,G,0.9636,0.0246,0.0118,5.9068,4.82107
porous_2_b,contained,reverse,G,0.935,0.0522,0.0128,7.8654,5.90385
porous_2_b,contained,none,G,0.9688,0.0242,0.007,4.9366,3.96596
complex_2_a,contained,forward,G,0.9172,0.0,0.0828,11.2624,6.05357
complex_2_a,contained,reverse,G,0.7594,0.0,0.2406,29.3182,12.69574
complex_2_a,contained,none,G,0.8124,0.0,0.1876,23.2808,10.62789
complex_6_b,contained,forward,G,0.4688,0.0,0.5312,28.861,14.29599
complex_6_b,contained,reverse,G,0.134,0.0,0.866,31.8582,18.9769
complex_6_b,contained,none,G,0.262,0.0,0.738,33.6916,17.50059
size_6_b,contained,forward,G,0.9926,0.0,0.0074,1.9924,2.25992
size_6_b,contained,reverse,G,0.9512,0.0004,0.0484,7.993,7.40084
size_6_b,contained,none,G,0.964,0.0,0.036,5.681,5.20603
porous_5_b,contained,forward,G,0.7872,0.0122,0.2006,21.7014,9.11085
porous_5_b,contained,reverse,G,0.6214,0.029,0.3496,28.1634,13.74316
porous_5_b,contained,none,G,0.675,0.0196,0.3054,26.7502,12.05288
size_3_a,contained,forward,G,0.928,0.0018,0.0702,19.3186,6.33511
size_3_a,contained,reverse,G,0.8856,0.006,0.1084,42.3792,9.34341
size_3_a,contained,none,G,0.9084,0.0,0.0916,30.1354,8.24622
size_6_c,contained,forward,G,0.986,0.0,0.014,2.1486,3.1036
size_6_c,contained,reverse,G,0.881,0.0,0.119,8.1512,9.70489
size_6_c,contained,none,G,0.913,0.0,0.087,5.9174,6.87557
size_1_a,contained,forward,G,0.9566,0.002,0.0414,8.056,6.6043
size_1_a,contained,reverse,G,0.952,0.002,0.046,7.9662,6.78015
size_1_a,contained,none,G,0.9428,0.0112,0.046,8.2258,6.52727
porous_5_a,contained,forward,G,0.7906,0.0004,0.209,21.641,9.2281
porous_5_a,contained,reverse,G,0.6178,0.0,0.3822,28.3688,14.27553
porous_5_a,contained,none,G,0.683,0.0,0.317,26.715,12.23325
complex_6_c,contained,forward,G,0.4588,0.0,0.5412,31.7722,14.49892
complex_6_c,contained,reverse,G,0.1662,0.0,0.8338,40.8952,18.74999
complex_6_c,contained,none,G,0.2726,0.0,0.7274,38.8552,17.42719
complex_4_b,contained,forward,G,0.9296,0.0,0.0704,5.259,3.5947
complex_4_b,contained,reverse,G,0.8184,0.0014,0.1802,12.5694,7.51518
complex_4_b,contained,none,G,0.6842,0.0,0.3158,22.3932,11.51246
complex_1_a,contained,forward,G,0.9938,0.0,0.0062,2.116,2.26241
complex_1_a,contained,reverse,G,0.9348,0.0,0.0652,8.8524,9.03701
complex_1_a,contained,none,G,0.94,0.0,0.06,7.4288,7.04367
size_6_a,contained,forward,G,0.94,0.0254,0.0346,2.562,2.2198
size_6_a,contained,reverse,G,0.9706,0.0168,0.0126,8.8038,5.00032
size_6_a,contained,none,G,0.9796,0.0102,0.0102,6.4186,3.6571
porous_6_b,contained,forward,G,0.9806,0.0012,0.0182,2.5668,4.47642
porous_6_b,contained,reverse,G,0.969,0.0028,0.0282,3.1446,5.47025
porous_6_b,contained,none,G,0.9776,0.0012,0.0212,2.7634,4.36628
size_2_b,contained,forward,G,0.9098,0.0088,0.0814,12.3436,4.92956
size_2_b,contained,reverse,G,0.7428,0.0008,0.2564,36.6096,12.46344
size_2_b,contained,none,G,0.7892,0.0018,0.209,29.2402,10.21067
stopper_1_a,contained,forward,G,0.9504,0.0,0.0496,3.7092,2.85163
stopper_1_a,contained,reverse,G,0.8128,0.0,0.1872,13.8456,9.81646
stopper_1_a,contained,none,G,0.77,0.001,0.229,16.0152,10.35239
porous_2_a,contained,forward,G,0.9806,0.0,0.0194,4.5404,4.64774
porous_2_a,contained,reverse,G,0.9712,0.0,0.0288,7.1792,6.67361
porous_2_a,contained,none,G,0.9872,0.0,0.0128,4.063,3.96117
size_3_b,contained,forward,G,0.8146,0.0002,0.1852,16.263,8.91022
size_3_b,contained,reverse,G,0.747,0.0,0.253,35.601,12.75406
size_3_b,contained,none,G,0.778,0.0,0.222,23.529,11.02581
complex_1_b,contained,forward,G,0.367,0.0,0.633,22.5494,16.8784
complex_1_b,contained,reverse,G,0.4082,0.0,0.5918,21.0,16.18066
complex_1_b,contained,none,G,0.4232,0.0,0.5768,20.864,15.57547
complex_3_a,contained,forward,G,0.8846,0.0,0.1154,5.9234,6.43263
complex_3_a,contained,reverse,G,0.6442,0.0116,0.3442,12.2914,13.13586
complex_3_a,contained,none,G,0.6244,0.0,0.3756,13.28,13.43406
stopper_6_b,contained,forward,G,0.646,0.0,0.354,13.8834,10.06247
stopper_6_b,contained,reverse,G,0.4002,0.0,0.5998,18.7324,15.99276
stopper_6_b,contained,none,G,0.4528,0.0,0.5472,18.7028,14.95139
size_2_a,contained,forward,G,0.931,0.0116,0.0574,21.4976,4.5789
size_2_a,contained,reverse,G,0.8086,0.0352,0.1562,55.6888,10.02206
size_2_a,contained,none,G,0.8328,0.03,0.1372,45.7908,8.67311
porous_1_b,contained,forward,G,0.9988,0.0006,0.0006,1.5218,2.0424
porous_1_b,contained,reverse,G,0.9944,0.0006,0.005,5.5518,3.7821
porous_1_b,contained,none,G,0.9858,0.0002,0.014,9.4446,4.88835
stopper_5_c,contained,forward,G,0.9052,0.093,0.0018,3.4604,3.53406
stopper_5_c,contained,reverse,G,0.9378,0.058,0.0042,3.6846,3.68111
