Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
porous_1_b,contained,none,G,0.9996,0.0,0.0004,9.2912,4.81601
stopper_5_c,contained,forward,G,0.9104,0.0896,1.38777878078e-17,3.4676,3.53298
stopper_5_c,contained,reverse,G,0.9314,0.0686,0.0,3.6164,3.6227
stopper_5_c,contained,none,G,0.971,0.029,2.42861286637e-17,2.075,1.86538
porous_3_c,contained,forward,G,0.956,0.044,4.16333634234e-17,2.3022,2.67258
porous_3_c,contained,reverse,G,0.9508,0.0492,2.08166817117e-17,2.66,3.45119
porous_3_c,contained,none,G,0.794,0.206,-2.77555756156e-17,3.484,3.6111
complex_5_a,contained,forward,G,0.9994,0.0,0.0006,2.5794,3.15743
complex_5_a,contained,reverse,G,0.9976,0.0,0.0024,3.0716,3.60934
complex_5_a,contained,none,G,0.9838,0.0,0.0162,9.862,5.50282
complex_4_c,contained,forward,G,0.9476,0.0,0.0524,8.9782,4.80125
complex_4_c,contained,reverse,G,0.827,0.0046,0.1684,26.5672,12.23699
complex_4_c,contained,none,G,0.7068,0.0,0.2932,46.7456,19.62237
stopper_1_c,contained,forward,G,0.796,0.1904,0.0136,6.0712,4.93389
stopper_1_c,contained,reverse,G,0.77,0.173,0.057,19.0434,13.54444
stopper_1_c,contained,none,G,0.7482,0.1846,0.0672,21.837,14.4628
size_5_b,contained,forward,G,0.9898,0.0052,0.005,5.0502,3.87997
size_5_b,contained,reverse,G,0.9892,0.0,0.0108,19.665,10.69942
size_5_b,contained,none,G,0.991,0.0,0.009,17.0986,9.1646
size_2_c,contained,forward,G,0.95,0.0,0.05,16.0832,8.95234
size_2_c,contained,reverse,G,0.8838,0.0014,0.1148,36.6024,18.34662
size_2_c,contained,none,G,0.9094,0.0004,0.0902,29.3088,15.17733
porous_3_a,contained,forward,G,0.9998,0.0,0.0002,2.3856,2.79272
porous_3_a,contained,reverse,G,0.9998,0.0002,-2.20364091558e-17,2.8636,3.68532
porous_3_a,contained,none,G,1.0,0.0,0.0,3.9328,4.19303
stopper_2_a,contained,forward,G,1.0,0.0,0.0,0.504,1.2079
stopper_2_a,contained,reverse,G,1.0,0.0,0.0,5.8056,4.12557
stopper_2_a,contained,none,G,1.0,0.0,0.0,4.4522,3.42698
stopper_6_a,contained,forward,G,0.8432,0.0,0.1568,14.5278,12.41178
stopper_6_a,contained,reverse,G,0.6842,0.0,0.3158,27.112,24.04745
stopper_6_a,contained,none,G,0.7084,0.0,0.2916,25.8102,22.26573
size_1_b,contained,forward,G,0.9788,0.0,0.0212,8.5172,10.85003
size_1_b,contained,reverse,G,0.977,0.0008,0.0222,8.6538,11.35395
size_1_b,contained,none,G,0.9778,0.0,0.0222,8.5656,10.54418
stopper_3_b,contained,forward,G,0.8566,0.0686,0.0748,10.5254,8.78642
stopper_3_b,contained,reverse,G,0.7572,0.0582,0.1846,22.4274,19.30115
stopper_3_b,contained,none,G,0.7514,0.0626,0.186,21.9912,19.27708
size_3_c,contained,forward,G,0.9144,0.0,0.0856,17.7732,13.43443
size_3_c,contained,reverse,G,0.881,0.0,0.119,35.8442,19.38109
size_3_c,contained,none,G,0.9016,0.0,0.0984,25.584,16.8433
complex_3_c,contained,forward,G,0.7314,0.0,0.2686,41.4688,21.46172
complex_3_c,contained,reverse,G,0.685,0.0,0.315,51.196,24.78924
complex_3_c,contained,none,G,0.6194,0.0,0.3806,64.0486,27.34257
complex_3_b,contained,forward,G,0.7586,0.0,0.2414,23.6454,19.72861
complex_3_b,contained,reverse,G,0.697,0.0,0.303,31.2912,24.95552
complex_3_b,contained,none,G,0.696,0.0,0.304,30.4712,24.95459
stopper_4_c,contained,forward,G,0.8952,0.0964,0.0084,3.3684,3.24035
stopper_4_c,contained,reverse,G,0.8642,0.1178,0.018,9.2316,6.74021
stopper_4_c,contained,none,G,0.8446,0.1162,0.0392,14.7254,10.12844
complex_5_c,contained,forward,G,0.959,0.0,0.041,15.9228,6.88971
complex_5_c,contained,reverse,G,0.9868,0.0,0.0132,6.3724,4.54552
complex_5_c,contained,none,G,0.957,0.0,0.043,16.7216,7.27386
size_1_c,contained,forward,G,0.9396,0.0,0.0604,8.4876,14.56034
size_1_c,contained,reverse,G,0.9388,0.0,0.0612,8.2952,14.8224
size_1_c,contained,none,G,0.938,0.0,0.062,8.4002,14.01641
size_4_c,contained,forward,G,0.9944,0.0,0.0056,7.8846,6.26128
size_4_c,contained,reverse,G,0.975,0.0,0.025,20.77,13.6346
size_4_c,contained,none,G,0.981,0.0,0.019,13.6624,9.77419
stopper_5_a,contained,forward,G,0.999,0.0,0.001,5.5774,5.98903
stopper_5_a,contained,reverse,G,0.9972,0.0004,0.0024,6.9818,6.97583
stopper_5_a,contained,none,G,0.9994,0.0,0.0006,4.8984,4.57941
porous_6_c,contained,forward,G,0.698,0.302,5.55111512313e-17,2.2302,4.08187
porous_6_c,contained,reverse,G,0.7692,0.2306,0.0002,2.5346,4.74851
porous_6_c,contained,none,G,0.8386,0.1614,0.0,2.4776,4.05061
stopper_6_c,contained,forward,G,0.6926,0.0982,0.2092,20.3084,15.83206
stopper_6_c,contained,reverse,G,0.5676,0.061,0.3714,30.4808,26.13513
stopper_6_c,contained,none,G,0.6136,0.057,0.3294,29.1382,23.85427
complex_6_a,contained,forward,G,0.7156,0.0,0.2844,48.6096,21.58917
complex_6_a,contained,reverse,G,0.5982,0.0,0.4018,64.8646,28.56963
complex_6_a,contained,none,G,0.6144,0.0,0.3856,62.9262,27.297
porous_1_c,contained,forward,G,0.9976,0.002,0.0004,1.5508,2.06638
porous_1_c,contained,reverse,G,0.855,0.1446,0.0004,5.2928,3.50009
porous_1_c,contained,none,G,0.8578,0.1422,0.0,8.5466,4.37299
porous_5_c,contained,forward,G,0.7724,0.2204,0.0072,19.2464,7.95801
porous_5_c,contained,reverse,G,0.4504,0.5364,0.0132,19.5226,9.56124
porous_5_c,contained,none,G,0.611,0.375,0.014,22.4008,9.87153
stopper_4_a,contained,forward,G,1.0,0.0,0.0,0.126,0.81145
stopper_4_a,contained,reverse,G,0.9994,0.0006,4.49943901581e-17,2.9588,2.3801
stopper_4_a,contained,none,G,1.0,0.0,0.0,4.6384,2.98445
stopper_5_b,contained,forward,G,0.9996,0.0004,-4.40728183115e-17,3.9052,4.29536
stopper_5_b,contained,reverse,G,0.9992,0.0004,0.0004,4.8134,4.977
stopper_5_b,contained,none,G,0.9998,0.0002,-2.20364091558e-17,3.4246,3.13578
stopper_2_c,contained,forward,G,0.9568,0.0392,0.004,6.003,5.47184
stopper_2_c,contained,reverse,G,0.9412,0.0498,0.009,13.4656,9.99379
stopper_2_c,contained,none,G,0.942,0.0522,0.0058,11.9796,9.15588
porous_2_c,contained,forward,G,0.7494,0.2506,5.55111512313e-17,8.7854,6.17764
porous_2_c,contained,reverse,G,0.6682,0.3318,0.0,9.7556,6.76238
porous_2_c,contained,none,G,0.7026,0.297,0.0004,6.9422,4.81121
porous_3_b,contained,forward,G,1.0,0.0,0.0,2.3612,2.75447
porous_3_b,contained,reverse,G,0.9994,0.0006,4.49943901581e-17,2.812,3.6272
porous_3_b,contained,none,G,0.9998,0.0002,-2.20364091558e-17,4.065,4.24824
stopper_1_b,contained,forward,G,0.9792,0.0074,0.0134,4.909,3.59707
stopper_1_b,contained,reverse,G,0.9344,0.0164,0.0492,17.5164,12.15417
stopper_1_b,contained,none,G,0.9202,0.0214,0.0584,20.381,13.0621
complex_5_b,contained,forward,G,0.987,0.0,0.013,10.4684,6.20409
complex_5_b,contained,reverse,G,0.9956,0.0,0.0044,4.6222,4.16697
complex_5_b,contained,none,G,0.9756,0.0,0.0244,13.4166,6.88076
porous_4_a,contained,forward,G,0.998,0.0,0.002,3.8056,4.34615
porous_4_a,contained,reverse,G,0.9964,0.0002,0.0034,7.0732,8.11028
porous_4_a,contained,none,G,0.9964,0.0,0.0036,6.078,6.78279
porous_4_c,contained,forward,G,0.9268,0.0724,0.0008,3.3476,3.86034
porous_4_c,contained,reverse,G,0.8426,0.1548,0.0026,6.4704,7.408
porous_4_c,contained,none,G,0.8144,0.1848,0.0008,4.931,5.50402
size_4_a,contained,forward,G,0.9966,0.0032,0.0002,8.5244,2.97981
size_4_a,contained,reverse,G,0.9738,0.0178,0.0084,25.7418,7.30034
size_4_a,contained,none,G,0.9894,0.008,0.0026,17.1764,4.8453
porous_6_a,contained,forward,G,0.9982,0.0,0.0018,2.603,4.60297
porous_6_a,contained,reverse,G,0.9986,0.0,0.0014,3.1792,5.61349
porous_6_a,contained,none,G,0.9986,0.0,0.0014,2.887,4.56747
porous_4_b,contained,forward,G,0.9984,0.0,0.0016,3.7202,4.25921
