Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9978,0.0,0.0022,2.0178,3.02621
complex_4_a,contained,reverse,G,0.9942,0.0018,0.004,4.4134,5.60881
complex_4_a,contained,none,G,0.996,0.0,0.004,5.9284,6.80827
porous_2_b,contained,forward,G,0.9666,0.0316,0.0018,5.9692,4.85317
porous_2_b,contained,reverse,G,0.9384,0.0602,0.0014,8.1168,6.04418
porous_2_b,contained,none,G,0.9736,0.025,0.0014,5.048,4.03444
complex_2_a,contained,forward,G,0.9814,0.0,0.0186,12.6784,6.74602
complex_2_a,contained,reverse,G,0.9316,0.0002,0.0682,33.4524,14.73845
complex_2_a,contained,none,G,0.949,0.0,0.051,26.4714,12.15521
complex_6_b,contained,forward,G,0.5648,0.0,0.4352,41.4428,21.6307
complex_6_b,contained,reverse,G,0.2504,0.0,0.7496,50.6858,30.96408
complex_6_b,contained,none,G,0.3916,0.0,0.6084,50.0986,27.36756
size_6_b,contained,forward,G,0.999,0.0,0.001,2.1116,2.36052
size_6_b,contained,reverse,G,0.993,0.0008,0.0062,8.318,7.73938
size_6_b,contained,none,G,0.995,0.0,0.005,5.9376,5.46583
porous_5_b,contained,forward,G,0.9094,0.013,0.0776,25.8954,11.03067
porous_5_b,contained,reverse,G,0.8302,0.0354,0.1344,35.1336,17.04092
porous_5_b,contained,none,G,0.8604,0.0234,0.1162,33.091,14.95556
size_3_a,contained,forward,G,0.9852,0.0032,0.0116,20.4556,6.73222
size_3_a,contained,reverse,G,0.9694,0.0094,0.0212,45.0018,10.13138
size_3_a,contained,none,G,0.9836,0.0,0.0164,32.1392,8.85559
size_6_c,contained,forward,G,0.9964,0.0,0.0036,2.3438,3.32345
size_6_c,contained,reverse,G,0.976,0.0,0.024,8.8478,10.51769
size_6_c,contained,none,G,0.9822,0.0,0.0178,6.589,7.60891
size_1_a,contained,forward,G,0.9938,0.0032,0.003,8.3456,6.84167
size_1_a,contained,reverse,G,0.9944,0.0032,0.0024,8.4306,7.13066
size_1_a,contained,none,G,0.9834,0.01,0.0066,8.3954,6.69082
porous_5_a,contained,forward,G,0.917,0.0002,0.0828,25.9622,11.19032
porous_5_a,contained,reverse,G,0.8478,0.0,0.1522,36.6836,18.04409
porous_5_a,contained,none,G,0.8766,0.0,0.1234,33.4018,15.2413
complex_6_c,contained,forward,G,0.5924,0.0,0.4076,46.2844,20.96867
complex_6_c,contained,reverse,G,0.2774,0.0,0.7226,66.674,30.46107
complex_6_c,contained,none,G,0.4048,0.0,0.5952,60.4622,27.15974
complex_4_b,contained,forward,G,0.9666,0.0,0.0334,6.7168,4.28288
complex_4_b,contained,reverse,G,0.9124,0.0034,0.0842,16.7566,9.46065
complex_4_b,contained,none,G,0.8514,0.0,0.1486,29.3296,14.97457
complex_1_a,contained,forward,G,0.9998,0.0,0.0002,2.1502,2.27297
complex_1_a,contained,reverse,G,0.994,0.0,0.006,9.0538,9.24987
complex_1_a,contained,none,G,0.9932,0.0,0.0068,7.6156,7.24206
size_6_a,contained,forward,G,0.9466,0.034,0.0194,2.964,2.55211
size_6_a,contained,reverse,G,0.981,0.0186,0.0004,9.0052,5.11613
size_6_a,contained,none,G,0.9888,0.01,0.0012,6.3744,3.59018
porous_6_b,contained,forward,G,0.9954,0.0028,0.0018,2.6932,4.6662
porous_6_b,contained,reverse,G,0.993,0.0042,0.0028,3.1608,5.50004
porous_6_b,contained,none,G,0.9962,0.0014,0.0024,2.8634,4.51264
size_2_b,contained,forward,G,0.9666,0.008,0.0254,14.1896,5.52873
size_2_b,contained,reverse,G,0.9112,0.0006,0.0882,43.2798,14.81874
size_2_b,contained,none,G,0.9356,0.0022,0.0622,35.065,12.21119
stopper_1_a,contained,forward,G,0.9784,0.0002,0.0214,4.6322,3.43117
stopper_1_a,contained,reverse,G,0.9338,0.0,0.0662,17.0044,11.82191
stopper_1_a,contained,none,G,0.9202,0.0022,0.0776,19.3698,12.48619
porous_2_a,contained,forward,G,0.9986,0.0,0.0014,4.6126,4.70885
porous_2_a,contained,reverse,G,0.9988,0.0,0.0012,7.3758,6.8419
porous_2_a,contained,none,G,0.9998,0.0,0.0002,4.052,3.93226
size_3_b,contained,forward,G,0.9438,0.0,0.0562,19.4304,10.23039
size_3_b,contained,reverse,G,0.9212,0.0,0.0788,41.0262,15.17442
size_3_b,contained,none,G,0.9328,0.0,0.0672,28.4376,12.84924
complex_1_b,contained,forward,G,0.5884,0.0,0.4116,33.2418,24.76579
complex_1_b,contained,reverse,G,0.625,0.0,0.375,30.886,23.28231
complex_1_b,contained,none,G,0.6376,0.0,0.3624,30.1838,22.53283
complex_3_a,contained,forward,G,0.9428,0.0,0.0572,7.2646,7.89111
complex_3_a,contained,reverse,G,0.8108,0.013,0.1762,15.6154,16.7162
complex_3_a,contained,none,G,0.8252,0.0,0.1748,16.8276,17.25624
stopper_6_b,contained,forward,G,0.7774,0.0,0.2226,18.3674,13.74842
