Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.8656,0.0,0.1344,1.1148,1.9698
complex_4_a,contained,reverse,G,0.6774,0.002,0.3206,2.4722,3.43432
complex_4_a,contained,none,G,0.5224,0.0,0.4776,3.2516,3.75745
porous_2_b,contained,forward,G,0.6734,0.0034,0.3232,4.0458,3.48971
porous_2_b,contained,reverse,G,0.5616,0.015,0.4234,5.4686,4.20622
porous_2_b,contained,none,G,0.7616,0.0074,0.231,3.598,2.9879
complex_2_a,contained,forward,G,0.6914,0.0,0.3086,6.1964,3.62808
complex_2_a,contained,reverse,G,0.0022,0.0,0.9978,12.5828,5.04918
complex_2_a,contained,none,G,0.2596,0.0,0.7404,10.2706,4.53805
complex_6_b,contained,forward,G,0.1972,0.0,0.8028,9.479,4.78106
complex_6_b,contained,reverse,G,0.0,0.0,1.0,8.9384,5.05
complex_6_b,contained,none,G,0.0448,0.0,0.9552,10.3048,4.99556
size_6_b,contained,forward,G,0.9354,0.0,0.0646,1.6196,1.90112
size_6_b,contained,reverse,G,0.5104,0.0,0.4896,4.99,4.62548
size_6_b,contained,none,G,0.6342,0.0,0.3658,3.6438,3.24719
porous_5_b,contained,forward,G,0.4802,0.0032,0.5166,10.52,4.15033
porous_5_b,contained,reverse,G,0.066,0.0166,0.9174,8.8974,4.98856
porous_5_b,contained,none,G,0.2158,0.0074,0.7768,10.1452,4.59281
size_3_a,contained,forward,G,0.5754,0.0002,0.4244,8.518,3.33453
size_3_a,contained,reverse,G,0.2878,0.0004,0.7118,25.3472,4.74103
size_3_a,contained,none,G,0.4154,0.0,0.5846,15.1654,4.15107
size_6_c,contained,forward,G,0.9126,0.0,0.0874,1.609,2.44749
size_6_c,contained,reverse,G,0.0986,0.0,0.9014,4.204,5.03383
size_6_c,contained,none,G,0.5032,0.0,0.4968,3.159,3.613
size_1_a,contained,forward,G,0.506,0.0002,0.4938,4.624,3.93774
size_1_a,contained,reverse,G,0.4964,0.0004,0.5032,4.4342,4.06349
size_1_a,contained,none,G,0.5226,0.0056,0.4718,4.6732,3.70042
porous_5_a,contained,forward,G,0.4856,0.0,0.5144,10.4762,4.1461
porous_5_a,contained,reverse,G,0.061,0.0,0.939,8.6894,5.03116
porous_5_a,contained,none,G,0.206,0.0,0.794,10.1764,4.62123
complex_6_c,contained,forward,G,0.1968,0.0,0.8032,9.5956,4.78056
complex_6_c,contained,reverse,G,0.0,0.0,1.0,10.5318,5.05
complex_6_c,contained,none,G,0.0436,0.0,0.9564,10.8374,5.00138
complex_4_b,contained,forward,G,0.847,0.0,0.153,2.1176,2.00453
complex_4_b,contained,reverse,G,0.574,0.001,0.425,4.0938,3.35978
complex_4_b,contained,none,G,0.2992,0.0,0.7008,7.6582,4.28444
complex_1_a,contained,forward,G,0.9476,0.0,0.0524,1.778,1.89201
complex_1_a,contained,reverse,G,0.1162,0.0,0.8838,4.5162,5.0273
complex_1_a,contained,none,G,0.471,0.0,0.529,3.9654,3.86005
size_6_a,contained,forward,G,0.9166,0.0032,0.0802,1.7154,1.44469
size_6_a,contained,reverse,G,0.6742,0.0164,0.3094,6.4264,3.65499
size_6_a,contained,none,G,0.7564,0.009,0.2346,4.6208,2.59268
porous_6_b,contained,forward,G,0.7862,0.0008,0.213,1.8666,3.38028
porous_6_b,contained,reverse,G,0.7002,0.0014,0.2984,2.1144,3.87816
porous_6_b,contained,none,G,0.7656,0.0006,0.2338,1.9258,3.10636
size_2_b,contained,forward,G,0.728,0.0088,0.2632,6.1238,2.63772
size_2_b,contained,reverse,G,0.1152,0.001,0.8838,15.1208,4.96225
size_2_b,contained,none,G,0.3006,0.0018,0.6976,12.7888,4.30413
stopper_1_a,contained,forward,G,0.8504,0.0,0.1496,1.6014,1.47878
stopper_1_a,contained,reverse,G,0.3076,0.0,0.6924,5.515,4.37063
stopper_1_a,contained,none,G,0.3202,0.0004,0.6794,6.3664,4.18415
porous_2_a,contained,forward,G,0.754,0.0,0.246,2.9256,3.21327
porous_2_a,contained,reverse,G,0.529,0.0,0.471,4.6392,4.37881
porous_2_a,contained,none,G,0.7878,0.0,0.2122,2.9514,2.9458
size_3_b,contained,forward,G,0.4736,0.0,0.5264,5.6998,3.86699
size_3_b,contained,reverse,G,0.049,0.0,0.951,16.7022,5.02906
size_3_b,contained,none,G,0.2334,0.0,0.7666,9.8376,4.63446
complex_1_b,contained,forward,G,0.0394,0.0,0.9606,6.518,4.97996
complex_1_b,contained,reverse,G,0.078,0.0,0.922,5.9512,4.94506
complex_1_b,contained,none,G,0.1152,0.0,0.8848,6.1302,4.74056
complex_3_a,contained,forward,G,0.6968,0.0,0.3032,3.2696,3.79311
complex_3_a,contained,reverse,G,0.0518,0.011,0.9372,4.4418,4.99756
complex_3_a,contained,none,G,0.1342,0.0,0.8658,4.9986,4.8667
stopper_6_b,contained,forward,G,0.494,0.0,0.506,5.858,3.44174
stopper_6_b,contained,reverse,G,0.1126,0.0,0.8874,5.7876,4.94589
stopper_6_b,contained,none,G,0.1538,0.0,0.8462,6.1976,4.70302
size_2_a,contained,forward,G,0.7178,0.0088,0.2734,10.3046,2.42129
size_2_a,contained,reverse,G,0.268,0.0276,0.7044,25.8186,4.54924
size_2_a,contained,none,G,0.392,0.014,0.594,21.432,3.96538
porous_1_b,contained,forward,G,0.9874,0.0,0.0126,1.424,1.99385
porous_1_b,contained,reverse,G,0.902,0.0008,0.0972,4.8104,3.4071
porous_1_b,contained,none,G,0.72,0.0004,0.2796,6.4612,3.50343
stopper_5_c,contained,forward,G,0.7222,0.0772,0.2006,2.8506,3.00182
stopper_5_c,contained,reverse,G,0.7574,0.0532,0.1894,3.002,3.03365
stopper_5_c,contained,none,G,0.8894,0.0264,0.0842,1.7126,1.52919
porous_3_c,contained,forward,G,0.8662,0.0248,0.109,1.8438,2.2401
porous_3_c,contained,reverse,G,0.823,0.022,0.155,2.1032,2.87503
