Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9212,0.0,0.0788,1.5732,2.49826
complex_4_a,contained,reverse,G,0.8278,0.0018,0.1704,3.5198,4.62512
complex_4_a,contained,none,G,0.775,0.0,0.225,4.7172,5.43057
porous_2_b,contained,forward,G,0.8834,0.0168,0.0998,5.3528,4.45576
porous_2_b,contained,reverse,G,0.8422,0.0296,0.1282,7.226,5.47656
porous_2_b,contained,none,G,0.9098,0.018,0.0722,4.6034,3.71814
complex_2_a,contained,forward,G,0.8054,0.0,0.1946,8.5842,4.77564
complex_2_a,contained,reverse,G,0.4066,0.0002,0.5932,21.0526,8.866
complex_2_a,contained,none,G,0.5302,0.0,0.4698,16.6594,7.46615
complex_6_b,contained,forward,G,0.337,0.0,0.663,17.224,8.34418
complex_6_b,contained,reverse,G,0.0472,0.0,0.9528,17.2712,9.89581
complex_6_b,contained,none,G,0.1254,0.0,0.8746,19.268,9.51891
size_6_b,contained,forward,G,0.9712,0.0,0.0288,1.8134,2.08951
size_6_b,contained,reverse,G,0.764,0.0,0.236,6.7714,6.34435
size_6_b,contained,none,G,0.835,0.0002,0.1648,4.8298,4.40624
porous_5_b,contained,forward,G,0.6238,0.0076,0.3686,15.5112,6.33962
porous_5_b,contained,reverse,G,0.3126,0.025,0.6624,17.1294,8.8002
porous_5_b,contained,none,G,0.4238,0.0126,0.5636,17.7204,7.92473
size_3_a,contained,forward,G,0.758,0.001,0.241,14.6258,5.03213
size_3_a,contained,reverse,G,0.627,0.0026,0.3704,35.8278,7.36572
size_3_a,contained,none,G,0.6998,0.0,0.3002,22.94,6.25749
size_6_c,contained,forward,G,0.9446,0.0,0.0554,1.8908,2.80645
size_6_c,contained,reverse,G,0.6456,0.0,0.3544,6.3962,7.60558
size_6_c,contained,none,G,0.7542,0.0,0.2458,4.6378,5.31886
size_1_a,contained,forward,G,0.7872,0.001,0.2118,6.7304,5.57335
size_1_a,contained,reverse,G,0.781,0.001,0.218,6.7086,5.77909
size_1_a,contained,none,G,0.7776,0.007,0.2154,6.7492,5.34711
porous_5_a,contained,forward,G,0.6184,0.0002,0.3814,15.4464,6.37155
porous_5_a,contained,reverse,G,0.3068,0.0,0.6932,16.9614,8.96511
porous_5_a,contained,none,G,0.4382,0.0,0.5618,17.1744,7.83493
complex_6_c,contained,forward,G,0.3336,0.0,0.6664,17.879,8.38665
complex_6_c,contained,reverse,G,0.0518,0.0,0.9482,21.3616,9.89336
complex_6_c,contained,none,G,0.1322,0.0,0.8678,20.994,9.4826
complex_4_b,contained,forward,G,0.8908,0.0,0.1092,3.302,2.6167
complex_4_b,contained,reverse,G,0.6728,0.0018,0.3254,7.835,5.17437
complex_4_b,contained,none,G,0.455,0.0,0.545,14.0646,7.39891
complex_1_a,contained,forward,G,0.9744,0.0,0.0256,1.9548,2.08234
complex_1_a,contained,reverse,G,0.699,0.0,0.301,7.1386,7.4023
complex_1_a,contained,none,G,0.7396,0.0,0.2604,5.9946,5.7686
