Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9998,0.0,0.0002,2.005,3.01405
complex_4_a,contained,reverse,G,0.9984,0.0014,0.0002,4.307,5.48657
complex_4_a,contained,none,G,0.9984,0.0,0.0016,5.9502,6.83746
porous_2_b,contained,forward,G,0.9682,0.0316,0.0002,5.8604,4.88346
porous_2_b,contained,reverse,G,0.9424,0.0572,0.0004,8.0484,5.99649
porous_2_b,contained,none,G,0.9734,0.0264,0.0002,5.0744,4.0486
complex_2_a,contained,forward,G,0.996,0.0,0.004,12.9222,6.85352
complex_2_a,contained,reverse,G,0.987,0.0,0.013,34.6314,15.18182
complex_2_a,contained,none,G,0.988,0.0,0.012,27.505,12.73262
complex_6_b,contained,forward,G,0.616,0.0,0.384,50.7056,27.71859
complex_6_b,contained,reverse,G,0.3112,0.0,0.6888,67.4542,41.9515
complex_6_b,contained,none,G,0.444,0.0,0.556,64.0698,36.47577
size_6_b,contained,forward,G,0.9998,0.0,0.0002,2.154,2.39551
size_6_b,contained,reverse,G,0.9992,0.0,0.0008,8.5836,7.97137
size_6_b,contained,none,G,0.9994,0.0,0.0006,6.2278,5.72007
porous_5_b,contained,forward,G,0.9556,0.018,0.0264,27.4336,11.64201
porous_5_b,contained,reverse,G,0.9074,0.0354,0.0572,38.3366,18.37431
porous_5_b,contained,none,G,0.9268,0.0274,0.0458,35.6634,16.21597
size_3_a,contained,forward,G,0.9952,0.0028,0.002,20.7066,6.78306
size_3_a,contained,reverse,G,0.9836,0.0068,0.0096,46.459,10.68795
size_3_a,contained,none,G,0.9968,0.0002,0.003,31.435,8.72197
size_6_c,contained,forward,G,0.9986,0.0,0.0014,2.2322,3.223
size_6_c,contained,reverse,G,0.9958,0.0,0.0042,8.8062,10.44934
size_6_c,contained,none,G,0.9964,0.0,0.0036,6.4254,7.46372
size_1_a,contained,forward,G,0.9974,0.0022,0.0004,8.5052,6.96695
size_1_a,contained,reverse,G,0.9974,0.0022,0.0004,8.4308,7.15247
size_1_a,contained,none,G,0.9868,0.0124,0.0008,8.4482,6.71142
porous_5_a,contained,forward,G,0.9676,0.001,0.0314,27.1898,11.72494
porous_5_a,contained,reverse,G,0.9366,0.0,0.0634,39.9734,19.62395
porous_5_a,contained,none,G,0.952,0.0,0.048,35.8256,16.38914
complex_6_c,contained,forward,G,0.6602,0.0,0.3398,58.1328,26.40941
complex_6_c,contained,reverse,G,0.3694,0.0,0.6306,88.4048,40.33001
complex_6_c,contained,none,G,0.4688,0.0,0.5312,79.6238,35.9088
complex_4_b,contained,forward,G,0.9854,0.0,0.0146,7.1062,4.48651
complex_4_b,contained,reverse,G,0.9608,0.0014,0.0378,18.0046,10.21269
complex_4_b,contained,none,G,0.9366,0.0,0.0634,31.6038,16.13302
complex_1_a,contained,forward,G,1.0,0.0,0.0,2.196,2.31843
complex_1_a,contained,reverse,G,0.9986,0.0,0.0014,9.3142,9.43745
complex_1_a,contained,none,G,0.999,0.0,0.001,8.136,7.66339
size_6_a,contained,forward,G,0.9452,0.0434,0.0114,3.1698,2.81066
size_6_a,contained,reverse,G,0.9808,0.0192,-3.46944695195e-18,8.6794,4.93939
size_6_a,contained,none,G,0.9864,0.013,0.0006,6.5666,3.76518
porous_6_b,contained,forward,G,0.998,0.0018,0.0002,2.75,4.75047
porous_6_b,contained,reverse,G,0.996,0.0036,0.0004,3.2926,5.6875
porous_6_b,contained,none,G,0.9982,0.0018,2.38524477947e-17,2.9732,4.68434
size_2_b,contained,forward,G,0.9848,0.0074,0.0078,15.4796,5.97877
size_2_b,contained,reverse,G,0.972,0.0014,0.0266,44.629,15.27909
size_2_b,contained,none,G,0.9786,0.0024,0.019,36.026,12.57739
stopper_1_a,contained,forward,G,0.9928,0.0002,0.007,4.595,3.4296
stopper_1_a,contained,reverse,G,0.9774,0.0,0.0226,17.8072,12.34887
stopper_1_a,contained,none,G,0.9724,0.001,0.0266,20.0128,12.96446
porous_2_a,contained,forward,G,0.9998,0.0,0.0002,4.658,4.74446
porous_2_a,contained,reverse,G,1.0,0.0,0.0,7.3184,6.7855
porous_2_a,contained,none,G,1.0,0.0,0.0,4.0712,3.97156
size_3_b,contained,forward,G,0.983,0.0004,0.0166,19.8622,10.62949
size_3_b,contained,reverse,G,0.9782,0.0,0.0218,42.5338,15.9241
size_3_b,contained,none,G,0.9796,0.0,0.0204,29.7534,13.6335
complex_1_b,contained,forward,G,0.744,0.0,0.256,39.2928,29.31989
complex_1_b,contained,reverse,G,0.7614,0.0,0.2386,36.989,27.94383
complex_1_b,contained,none,G,0.7732,0.0,0.2268,36.2868,27.11995
complex_3_a,contained,forward,G,0.9738,0.0,0.0262,7.7598,8.39557
complex_3_a,contained,reverse,G,0.9058,0.015,0.0792,17.4978,18.71013
complex_3_a,contained,none,G,0.918,0.0,0.082,18.6432,19.0669
stopper_6_b,contained,forward,G,0.8478,0.0,0.1522,21.4198,16.48408
stopper_6_b,contained,reverse,G,0.7312,0.0,0.2688,33.2912,28.44943
stopper_6_b,contained,none,G,0.7436,0.0,0.2564,32.0692,26.47353
size_2_a,contained,forward,G,0.9786,0.018,0.0034,24.9248,5.22615
size_2_a,contained,reverse,G,0.9542,0.0366,0.0092,63.0702,11.45511
size_2_a,contained,none,G,0.9512,0.0384,0.0104,52.0414,10.04854
porous_1_b,contained,forward,G,0.9984,0.0014,0.0002,1.5766,2.0818
porous_1_b,contained,reverse,G,0.9972,0.0026,0.0002,5.745,3.8718
porous_1_b,contained,none,G,1.0,0.0,0.0,9.6186,4.95828
stopper_5_c,contained,forward,G,0.9056,0.0944,4.16333634234e-17,3.3572,3.50081
stopper_5_c,contained,reverse,G,0.9282,0.0714,0.0004,3.6678,3.63747
stopper_5_c,contained,none,G,0.9726,0.0274,-2.08166817117e-17,2.0416,1.81901
porous_3_c,contained,forward,G,0.9542,0.0458,-4.85722573274e-17,2.2378,2.62751
