Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9894,0.0,0.0106,1.9476,2.96878
complex_4_a,contained,reverse,G,0.9852,0.0018,0.013,4.2442,5.41559
complex_4_a,contained,none,G,0.9738,0.0,0.0262,5.9032,6.76378
porous_2_b,contained,forward,G,0.972,0.0236,0.0044,5.8272,4.79156
porous_2_b,contained,reverse,G,0.9418,0.0532,0.005,7.8676,5.93641
porous_2_b,contained,none,G,0.9732,0.0236,0.0032,4.972,3.99519
complex_2_a,contained,forward,G,0.9526,0.0,0.0474,11.7042,6.24868
complex_2_a,contained,reverse,G,0.8396,0.0,0.1604,31.8322,13.86164
complex_2_a,contained,none,G,0.874,0.0,0.126,25.115,11.55775
complex_6_b,contained,forward,G,0.5246,0.0,0.4754,32.8962,16.62281
complex_6_b,contained,reverse,G,0.173,0.0,0.827,38.4562,23.16823
complex_6_b,contained,none,G,0.3084,0.0,0.6916,39.8326,21.00131
size_6_b,contained,forward,G,0.9952,0.0,0.0048,2.1668,2.40792
size_6_b,contained,reverse,G,0.9742,0.0,0.0258,8.3786,7.73634
size_6_b,contained,none,G,0.9768,0.0002,0.023,6.0434,5.55227
porous_5_b,contained,forward,G,0.8446,0.0086,0.1468,23.863,10.07766
porous_5_b,contained,reverse,G,0.7106,0.0318,0.2576,31.4096,15.33435
porous_5_b,contained,none,G,0.7574,0.017,0.2256,29.8732,13.45155
size_3_a,contained,forward,G,0.9614,0.002,0.0366,19.8516,6.53939
size_3_a,contained,reverse,G,0.9314,0.0062,0.0624,43.8958,9.88121
size_3_a,contained,none,G,0.9508,0.0,0.0492,30.7518,8.52585
size_6_c,contained,forward,G,0.9892,0.0,0.0108,2.1732,3.14224
size_6_c,contained,reverse,G,0.938,0.0,0.062,8.324,9.8924
size_6_c,contained,none,G,0.9564,0.0,0.0436,6.0944,7.03285
size_1_a,contained,forward,G,0.9772,0.003,0.0198,8.1134,6.64957
size_1_a,contained,reverse,G,0.9772,0.0018,0.021,8.4512,7.14858
size_1_a,contained,none,G,0.9686,0.0082,0.0232,8.2386,6.53386
porous_5_a,contained,forward,G,0.857,0.001,0.142,23.103,9.87817
porous_5_a,contained,reverse,G,0.7172,0.0,0.2828,31.8546,15.88886
porous_5_a,contained,none,G,0.7714,0.0,0.2286,30.0476,13.69768
complex_6_c,contained,forward,G,0.5042,0.0,0.4958,37.6742,17.14982
complex_6_c,contained,reverse,G,0.217,0.0,0.783,49.6834,22.80936
complex_6_c,contained,none,G,0.329,0.0,0.671,46.506,20.87424
complex_4_b,contained,forward,G,0.9376,0.0,0.0624,6.1268,3.9921
complex_4_b,contained,reverse,G,0.8488,0.0014,0.1498,14.6908,8.52158
complex_4_b,contained,none,G,0.7526,0.0,0.2474,25.6256,13.05438
complex_1_a,contained,forward,G,0.9978,0.0,0.0022,2.23,2.33245
complex_1_a,contained,reverse,G,0.9704,0.0,0.0296,8.8018,9.05285
complex_1_a,contained,none,G,0.971,0.0,0.029,7.7038,7.288
size_6_a,contained,forward,G,0.9458,0.0274,0.0268,2.7002,2.33282
size_6_a,contained,reverse,G,0.978,0.0174,0.0046,8.8424,5.03781
size_6_a,contained,none,G,0.984,0.0128,0.0032,6.186,3.51836
porous_6_b,contained,forward,G,0.989,0.0024,0.0086,2.6414,4.57558
