Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,1.0,0.0,0.0,2.0818,3.12064
complex_4_a,contained,reverse,G,0.997,0.0026,0.0004,4.361,5.53836
complex_4_a,contained,none,G,0.9992,0.0,0.0008,5.9744,6.87623
porous_2_b,contained,forward,G,0.9714,0.0286,-4.16333634234e-17,6.0274,4.93231
porous_2_b,contained,reverse,G,0.9444,0.0538,0.0018,8.0376,6.08627
porous_2_b,contained,none,G,0.974,0.0252,0.0008,5.0014,4.08478
complex_2_a,contained,forward,G,0.9926,0.0,0.0074,12.517,6.68024
complex_2_a,contained,reverse,G,0.9726,0.0002,0.0272,34.2206,15.07952
complex_2_a,contained,none,G,0.9796,0.0,0.0204,27.0054,12.42273
complex_6_b,contained,forward,G,0.6038,0.0,0.3962,47.689,25.62217
complex_6_b,contained,reverse,G,0.2884,0.0,0.7116,62.4944,38.53575
complex_6_b,contained,none,G,0.4278,0.0,0.5722,59.7434,33.51241
size_6_b,contained,forward,G,0.9996,0.0,0.0004,2.013,2.26755
size_6_b,contained,reverse,G,0.9982,0.0002,0.0016,8.441,7.82899
size_6_b,contained,none,G,0.999,0.0,0.001,6.171,5.61345
porous_5_b,contained,forward,G,0.9434,0.017,0.0396,26.914,11.43401
porous_5_b,contained,reverse,G,0.8938,0.0384,0.0678,37.7812,18.15875
porous_5_b,contained,none,G,0.918,0.022,0.06,34.7608,15.71385
size_3_a,contained,forward,G,0.9914,0.003,0.0056,21.9464,7.07165
size_3_a,contained,reverse,G,0.9788,0.0082,0.013,46.177,10.56875
size_3_a,contained,none,G,0.9934,0.0008,0.0058,32.6018,9.04815
size_6_c,contained,forward,G,0.9986,0.0,0.0014,2.3474,3.36041
size_6_c,contained,reverse,G,0.9906,0.0,0.0094,8.9498,10.67289
size_6_c,contained,none,G,0.994,0.0,0.006,6.3708,7.39664
size_1_a,contained,forward,G,0.9944,0.0038,0.0018,8.4248,6.92816
size_1_a,contained,reverse,G,0.9962,0.0026,0.0012,8.3882,7.11768
size_1_a,contained,none,G,0.9858,0.0128,0.0014,8.2124,6.53515
porous_5_a,contained,forward,G,0.9574,0.0008,0.0418,27.1534,11.69989
porous_5_a,contained,reverse,G,0.9176,0.0,0.0824,39.4418,19.36642
porous_5_a,contained,none,G,0.9308,0.0,0.0692,35.9884,16.43384
complex_6_c,contained,forward,G,0.645,0.0,0.355,54.4902,24.73066
complex_6_c,contained,reverse,G,0.3426,0.0,0.6574,81.1916,37.16656
complex_6_c,contained,none,G,0.469,0.0,0.531,72.4424,32.65063
complex_4_b,contained,forward,G,0.9804,0.0,0.0196,7.5766,4.65987
complex_4_b,contained,reverse,G,0.954,0.002,0.044,16.6758,9.64758
complex_4_b,contained,none,G,0.9144,0.0,0.0856,31.3942,15.98746
complex_1_a,contained,forward,G,1.0,0.0,0.0,2.201,2.31792
complex_1_a,contained,reverse,G,0.998,0.0,0.002,9.2894,9.44018
complex_1_a,contained,none,G,0.9982,0.0,0.0018,7.9378,7.48728
size_6_a,contained,forward,G,0.9408,0.0438,0.0154,3.144,2.76842
size_6_a,contained,reverse,G,0.9824,0.0176,-5.20417042793e-17,8.7986,5.01956
size_6_a,contained,none,G,0.985,0.0144,0.0006,6.501,3.66447
porous_6_b,contained,forward,G,0.9964,0.0032,0.0004,2.7546,4.71742
porous_6_b,contained,reverse,G,0.9958,0.0032,0.001,3.2638,5.67181
porous_6_b,contained,none,G,0.9956,0.0034,0.001,2.9964,4.692
size_2_b,contained,forward,G,0.9822,0.008,0.0098,14.7458,5.75141
size_2_b,contained,reverse,G,0.9596,0.0012,0.0392,44.6278,15.28657
size_2_b,contained,none,G,0.9644,0.0022,0.0334,36.4318,12.82723
stopper_1_a,contained,forward,G,0.9928,0.0,0.0072,4.458,3.32547
stopper_1_a,contained,reverse,G,0.9682,0.0,0.0318,16.9272,11.79397
stopper_1_a,contained,none,G,0.9646,0.0014,0.034,19.8826,12.81945
porous_2_a,contained,forward,G,0.9998,0.0,0.0002,4.6774,4.75903
porous_2_a,contained,reverse,G,0.9998,0.0,0.0002,7.2544,6.73032
porous_2_a,contained,none,G,0.9998,0.0,0.0002,4.0756,3.97821
size_3_b,contained,forward,G,0.9778,0.0,0.0222,19.9458,10.64833
size_3_b,contained,reverse,G,0.9658,0.0,0.0342,42.5548,15.79455
size_3_b,contained,none,G,0.9668,0.0,0.0332,29.4782,13.4581
complex_1_b,contained,forward,G,0.7026,0.0,0.2974,37.4572,27.97666
complex_1_b,contained,reverse,G,0.7084,0.0,0.2916,35.5116,26.86146
complex_1_b,contained,none,G,0.7252,0.0,0.2748,34.702,25.92936
complex_3_a,contained,forward,G,0.9672,0.0,0.0328,7.4614,8.03281
complex_3_a,contained,reverse,G,0.886,0.0132,0.1008,16.902,18.10703
complex_3_a,contained,none,G,0.9046,0.0,0.0954,18.077,18.53647
stopper_6_b,contained,forward,G,0.8324,0.0004,0.1672,20.271,15.49898
stopper_6_b,contained,reverse,G,0.6848,0.0,0.3152,31.5142,26.8947
stopper_6_b,contained,none,G,0.7196,0.0,0.2804,30.0712,24.72039
size_2_a,contained,forward,G,0.974,0.0194,0.0066,24.4408,5.19365
size_2_a,contained,reverse,G,0.9408,0.0456,0.0136,61.9808,11.28009
size_2_a,contained,none,G,0.948,0.042,0.01,50.2892,9.68097
porous_1_b,contained,forward,G,0.9996,0.0004,-4.40728183115e-17,1.5482,2.05614
porous_1_b,contained,reverse,G,0.9982,0.0018,2.38524477947e-17,5.6812,3.85756
porous_1_b,contained,none,G,0.9998,0.0,0.0002,9.361,4.85374
stopper_5_c,contained,forward,G,0.9076,0.0924,4.16333634234e-17,3.4086,3.51347
stopper_5_c,contained,reverse,G,0.9352,0.0642,0.0006,3.7134,3.64872
stopper_5_c,contained,none,G,0.9708,0.0292,3.46944695195e-18,2.0316,1.80808
porous_3_c,contained,forward,G,0.954,0.046,4.16333634234e-17,2.2608,2.64287
porous_3_c,contained,reverse,G,0.9524,0.0474,0.0002,2.7116,3.51716
porous_3_c,contained,none,G,0.798,0.2018,0.0002,3.5526,3.68131
complex_5_a,contained,forward,G,0.9986,0.0,0.0014,2.8072,3.23572
complex_5_a,contained,reverse,G,0.999,0.0,0.001,2.9344,3.61893
complex_5_a,contained,none,G,0.9852,0.0,0.0148,10.79,5.6186
complex_4_c,contained,forward,G,0.9548,0.0,0.0452,9.6768,5.04078
complex_4_c,contained,reverse,G,0.8458,0.0036,0.1506,27.986,12.73674
complex_4_c,contained,none,G,0.7362,0.0,0.2638,49.8068,20.94703
stopper_1_c,contained,forward,G,0.8018,0.1846,0.0136,6.6422,5.23853
stopper_1_c,contained,reverse,G,0.7844,0.1742,0.0414,19.2822,13.6663
stopper_1_c,contained,none,G,0.7472,0.2074,0.0454,21.797,14.53587
size_5_b,contained,forward,G,0.99,0.0058,0.0042,5.195,3.9694
size_5_b,contained,reverse,G,0.9932,0.0,0.0068,20.2648,11.00904
size_5_b,contained,none,G,0.9938,0.0,0.0062,17.2566,9.24135
size_2_c,contained,forward,G,0.9666,0.0,0.0334,15.8846,8.70543
size_2_c,contained,reverse,G,0.9186,0.0024,0.079,37.8236,19.06006
size_2_c,contained,none,G,0.9334,0.0,0.0666,29.885,15.50815
porous_3_a,contained,forward,G,1.0,0.0,0.0,2.3668,2.77281
porous_3_a,contained,reverse,G,0.9996,0.0004,-4.40728183115e-17,2.8422,3.68734
porous_3_a,contained,none,G,1.0,0.0,0.0,3.9604,4.20747
stopper_2_a,contained,forward,G,1.0,0.0,0.0,0.5218,1.21943
stopper_2_a,contained,reverse,G,0.9994,0.0006,4.49943901581e-17,5.9098,4.21104
stopper_2_a,contained,none,G,1.0,0.0,0.0,4.5976,3.5089
