Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9632,0.0,0.0368,1.8262,2.80852
complex_4_a,contained,reverse,G,0.9308,0.0016,0.0676,3.9364,5.0599
complex_4_a,contained,none,G,0.8978,0.0,0.1022,5.5138,6.3164
porous_2_b,contained,forward,G,0.9446,0.0214,0.034,5.8072,4.69907
porous_2_b,contained,reverse,G,0.9186,0.0454,0.036,7.5804,5.73173
porous_2_b,contained,none,G,0.9542,0.0222,0.0236,5.0536,3.98007
complex_2_a,contained,forward,G,0.8722,0.0,0.1278,10.1726,5.58288
complex_2_a,contained,reverse,G,0.6284,0.0,0.3716,25.8684,11.18227
complex_2_a,contained,none,G,0.6992,0.0,0.3008,20.7326,9.38546
complex_6_b,contained,forward,G,0.4108,0.0,0.5892,23.7096,11.51984
complex_6_b,contained,reverse,G,0.1004,0.0,0.8996,25.004,14.53047
complex_6_b,contained,none,G,0.2116,0.0,0.7884,26.8998,13.60486
size_6_b,contained,forward,G,0.9814,0.0,0.0186,2.0134,2.25751
size_6_b,contained,reverse,G,0.8908,0.0004,0.1088,7.6698,7.10132
size_6_b,contained,none,G,0.9112,0.0,0.0888,5.7424,5.2502
porous_5_b,contained,forward,G,0.7276,0.0084,0.264,19.2616,7.96694
porous_5_b,contained,reverse,G,0.5024,0.0292,0.4684,23.3946,11.61072
porous_5_b,contained,none,G,0.591,0.013,0.396,22.762,10.23506
size_3_a,contained,forward,G,0.8744,0.0022,0.1234,16.988,5.74588
size_3_a,contained,reverse,G,0.7982,0.0038,0.198,40.2642,8.71925
size_3_a,contained,none,G,0.8336,0.0002,0.1662,26.98,7.48603
size_6_c,contained,forward,G,0.9666,0.0,0.0334,2.0586,3.01236
size_6_c,contained,reverse,G,0.7988,0.0,0.2012,7.5528,8.94512
size_6_c,contained,none,G,0.8586,0.0,0.1414,5.4226,6.26075
size_1_a,contained,forward,G,0.9004,0.0018,0.0978,7.7784,6.39345
size_1_a,contained,reverse,G,0.8918,0.003,0.1052,7.8158,6.64104
size_1_a,contained,none,G,0.8996,0.0074,0.093,7.5968,6.0294
porous_5_a,contained,forward,G,0.724,0.0004,0.2756,19.0204,7.99063
porous_5_a,contained,reverse,G,0.4902,0.0,0.5098,23.3066,11.96322
porous_5_a,contained,none,G,0.5772,0.0,0.4228,22.7966,10.42429
complex_6_c,contained,forward,G,0.4236,0.0,0.5764,24.7374,11.41784
complex_6_c,contained,reverse,G,0.1064,0.0,0.8936,31.4888,14.51586
complex_6_c,contained,none,G,0.2238,0.0,0.7762,30.2746,13.56992
complex_4_b,contained,forward,G,0.9084,0.0,0.0916,4.4744,3.19676
complex_4_b,contained,reverse,G,0.7648,0.0028,0.2324,10.0466,6.4117
complex_4_b,contained,none,G,0.591,0.0,0.409,18.679,9.72732
complex_1_a,contained,forward,G,0.9846,0.0,0.0154,2.1634,2.27951
complex_1_a,contained,reverse,G,0.8618,0.0,0.1382,8.1774,8.42364
complex_1_a,contained,none,G,0.8776,0.0,0.1224,7.0678,6.68075
size_6_a,contained,forward,G,0.9344,0.0246,0.041,2.4112,2.05936
size_6_a,contained,reverse,G,0.9514,0.018,0.0306,8.6614,4.9169
size_6_a,contained,none,G,0.9632,0.01,0.0268,6.283,3.54502
porous_6_b,contained,forward,G,0.9556,0.0018,0.0426,2.5174,4.38198
porous_6_b,contained,reverse,G,0.9416,0.0036,0.0548,3.0004,5.22706
porous_6_b,contained,none,G,0.9484,0.0024,0.0492,2.7196,4.26925
size_2_b,contained,forward,G,0.8672,0.008,0.1248,11.2612,4.50868
size_2_b,contained,reverse,G,0.6144,0.0006,0.385,32.0252,10.79606
size_2_b,contained,none,G,0.69,0.0016,0.3084,25.8558,8.95293
stopper_1_a,contained,forward,G,0.9324,0.0,0.0676,3.0796,2.45868
stopper_1_a,contained,reverse,G,0.7216,0.0,0.2784,11.9718,8.62151
stopper_1_a,contained,none,G,0.6774,0.002,0.3206,13.7552,8.92504
porous_2_a,contained,forward,G,0.9546,0.0,0.0454,4.3098,4.43108
porous_2_a,contained,reverse,G,0.9296,0.0,0.0704,6.8892,6.40709
porous_2_a,contained,none,G,0.9646,0.0,0.0354,3.9728,3.86279
