WID,Trial,TrialBase,ContainmentType,ContainmentLevel,TrialNum,GoalReachable,MotionDirection,Response,RT,TrialOrder,WasBad
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,size_1_c,size_1,size,c,1,True,Fwd,True,0.531,11,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_6_a,stopper_6,stopper,a,6,False,Fwd,False,0.815,12,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_1_b,complex_1,complex,b,1,False,Rev,False,0.843,13,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_1_a,stopper_1,stopper,a,1,False,Fwd,False,0.712,14,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,size_6_c,size_6,size,c,6,False,Rev,False,0.633,15,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,size_3_c,size_3,size,c,3,True,Fwd,True,0.536,16,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_6_b,complex_6,complex,b,6,True,None,True,1.01,17,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,porous_4_a,porous_4,porous,a,4,False,None,False,0.866,18,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,porous_1_a,porous_1,porous,a,1,True,Rev,True,0.681,19,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,porous_5_a,porous_5,porous,a,5,True,None,True,0.728,20,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_3_a,stopper_3,stopper,a,3,False,Rev,True,0.818,21,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,size_2_c,size_2,size,c,2,False,None,False,0.571,22,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_2_b,complex_2,complex,b,2,False,Fwd,True,1.066,23,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_1_b,complex_1,complex,b,1,False,None,,-1.0,0,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_2_a,stopper_2,stopper,a,2,False,Rev,False,0.354,1,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_6_a,porous_6,porous,a,6,False,Fwd,False,0.203,2,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_4_a,porous_4,porous,a,4,False,Fwd,False,0.28,3,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_6_a,stopper_6,stopper,a,6,False,Rev,False,0.425,4,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_3_c,size_3,size,c,3,True,Rev,True,0.996,5,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_6_b,complex_6,complex,b,6,True,Fwd,True,0.582,6,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_5_b,complex_5,complex,b,5,True,Fwd,True,0.458,7,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_5_a,porous_5,porous,a,5,True,Fwd,True,0.533,8,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_3_a,stopper_3,stopper,a,3,False,None,False,0.345,9,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_2_b,complex_2,complex,b,2,False,Rev,False,0.365,10,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_1_c,size_1,size,c,1,True,Rev,True,0.299,11,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_1_a,porous_1,porous,a,1,True,None,True,0.244,12,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_4_b,complex_4,complex,b,4,True,None,True,0.196,13,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_2_c,size_2,size,c,2,False,Fwd,False,0.109,14,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_5_a,stopper_5,stopper,a,5,True,Rev,True,0.267,15,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_3_a,porous_3,porous,a,3,False,None,False,0.117,16,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_5_c,size_5,size,c,5,True,None,True,0.341,17,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_4_a,stopper_4,stopper,a,4,True,Fwd,True,0.081,18,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,porous_2_a,porous_2,porous,a,2,True,None,True,0.339,19,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_6_c,size_6,size,c,6,False,None,False,0.229,20,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,stopper_1_a,stopper_1,stopper,a,1,False,Rev,False,0.211,21,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,complex_3_b,complex_3,complex,b,3,True,Rev,True,0.37,22,False
A13NXSZ9D5NTHN:358010RM5FDIK2BPG84FR7WR68WVXP,size_4_c,size_4,size,c,4,False,Fwd,False,0.108,23,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_5_a,porous_5,porous,a,5,True,None,True,0.99,0,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_1_a,porous_1,porous,a,1,True,Rev,False,1.989,1,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_5_c,size_5,size,c,5,True,Rev,False,1.182,2,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_3_b,complex_3,complex,b,3,True,Fwd,True,1.172,3,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_2_a,stopper_2,stopper,a,2,False,Fwd,False,0.332,4,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_4_a,stopper_4,stopper,a,4,True,None,True,0.223,5,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_2_c,size_2,size,c,2,False,None,False,0.327,6,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_4_c,size_4,size,c,4,False,None,False,0.453,7,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_2_b,complex_2,complex,b,2,False,Fwd,False,0.375,8,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_6_a,porous_6,porous,a,6,False,None,False,0.142,9,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_3_a,porous_3,porous,a,3,False,Rev,False,0.311,10,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_5_a,stopper_5,stopper,a,5,True,Fwd,True,1.024,11,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_3_c,size_3,size,c,3,True,Fwd,True,0.336,12,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_2_a,porous_2,porous,a,2,True,Rev,True,0.286,13,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_5_b,complex_5,complex,b,5,True,None,True,0.672,14,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_1_b,complex_1,complex,b,1,False,Rev,False,0.621,15,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_6_a,stopper_6,stopper,a,6,False,Fwd,False,0.319,16,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_4_b,complex_4,complex,b,4,True,Rev,True,0.759,17,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_6_c,size_6,size,c,6,False,Rev,False,0.829,18,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_1_a,stopper_1,stopper,a,1,False,Fwd,False,0.725,19,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,complex_6_b,complex_6,complex,b,6,True,None,True,0.5,20,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,porous_4_a,porous_4,porous,a,4,False,None,False,0.468,21,False
