Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
stopper_6_c,RRT,True,224,True,378,378,False
stopper_6_b,RRT,True,62,False,-1,3001,True
stopper_6_a,RRT,True,35,False,-1,3001,True
stopper_5_c,RRT,True,12,True,280,280,False
stopper_5_b,RRT,True,39,True,1121,1121,False
stopper_5_a,RRT,True,33,False,-1,1088,True
stopper_4_c,RRT,True,70,True,115,115,False
stopper_4_b,RRT,True,56,False,-1,146,True
stopper_4_a,RRT,True,38,False,-1,88,True
stopper_3_c,RRT,True,117,True,126,126,False
stopper_3_b,RRT,True,132,True,215,215,False
stopper_3_a,RRT,False,-1,False,-1,18,False
stopper_2_c,RRT,True,66,True,609,609,False
stopper_2_b,RRT,True,64,False,-1,192,True
stopper_2_a,RRT,True,24,False,-1,106,True
stopper_1_c,RRT,True,47,True,103,103,False
stopper_1_b,RRT,True,40,True,167,167,False
stopper_1_a,RRT,True,37,False,-1,138,True
size_6_c,RRT,True,172,False,-1,3001,True
size_6_b,RRT,True,110,False,-1,862,True
size_6_a,RRT,True,44,False,-1,121,True
size_5_c,RRT,True,179,False,-1,3001,True
size_5_b,RRT,True,98,False,-1,536,True
size_5_a,RRT,True,40,False,-1,104,True
size_4_c,RRT,True,244,False,-1,2023,True
size_4_b,RRT,True,106,False,-1,213,True
size_4_a,RRT,True,37,False,-1,73,True
size_3_c,RRT,True,101,False,-1,3001,True
size_3_b,RRT,True,49,False,-1,447,True
size_3_a,RRT,True,29,False,-1,81,True
size_2_c,RRT,True,105,False,-1,201,True
size_2_b,RRT,True,64,False,-1,119,True
size_2_a,RRT,False,-1,False,-1,24,False
size_1_c,RRT,True,155,False,-1,3001,True
size_1_b,RRT,True,94,False,-1,3001,True
size_1_a,RRT,True,80,False,-1,83,True
porous_6_c,RRT,True,119,True,211,211,False
porous_6_b,RRT,True,175,False,-1,3001,True
porous_6_a,RRT,True,230,False,-1,3001,True
porous_5_c,RRT,True,120,True,67,120,False
porous_5_b,RRT,True,99,False,-1,224,True
porous_5_a,RRT,True,94,False,-1,111,True
porous_4_c,RRT,True,33,True,156,156,False
porous_4_b,RRT,True,25,False,-1,755,True
porous_4_a,RRT,True,35,False,-1,1806,True
porous_3_c,RRT,True,103,True,251,251,False
porous_3_b,RRT,True,109,False,-1,1125,True
porous_3_a,RRT,True,149,False,-1,218,True
porous_2_c,RRT,True,48,True,207,207,False
porous_2_b,RRT,True,59,False,-1,3001,True
porous_2_a,RRT,True,52,False,-1,3001,True
porous_1_c,RRT,True,69,False,-1,161,True
porous_1_b,RRT,True,64,False,-1,270,True
porous_1_a,RRT,True,96,False,-1,153,True
complex_6_c,RRT,False,-1,False,-1,32,False
complex_6_b,RRT,False,-1,False,-1,21,False
complex_6_a,RRT,False,-1,False,-1,40,False
complex_5_c,RRT,True,70,False,-1,3001,True
complex_5_b,RRT,True,89,False,-1,3001,True
complex_5_a,RRT,True,149,False,-1,3001,True
complex_4_c,RRT,True,125,False,-1,3001,True
complex_4_b,RRT,True,69,False,-1,590,True
complex_4_a,RRT,True,142,False,-1,830,True
complex_3_c,RRT,True,220,False,-1,3001,True
complex_3_b,RRT,True,287,False,-1,3001,True
complex_3_a,RRT,True,159,False,-1,3001,True
complex_2_c,RRT,True,60,False,-1,3001,True
complex_2_b,RRT,False,-1,False,-1,22,False
complex_2_a,RRT,True,53,False,-1,429,True
complex_1_c,RRT,True,154,False,-1,3001,True
complex_1_b,RRT,True,117,False,-1,3001,True
complex_1_a,RRT,True,87,False,-1,3001,True
