Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
stopper_6_c,RRT,True,92,True,548,548,False
stopper_6_b,RRT,True,31,False,-1,3001,True
stopper_6_a,RRT,True,29,False,-1,3001,True
stopper_5_c,RRT,True,6,True,415,415,False
stopper_5_b,RRT,True,30,True,911,911,False
stopper_5_a,RRT,True,21,False,-1,3001,True
stopper_4_c,RRT,True,83,True,110,110,False
stopper_4_b,RRT,True,30,False,-1,248,True
stopper_4_a,RRT,True,29,False,-1,138,True
stopper_3_c,RRT,True,265,True,348,348,False
stopper_3_b,RRT,True,50,True,294,294,False
stopper_3_a,RRT,True,89,False,-1,3001,True
stopper_2_c,RRT,True,72,True,784,784,False
stopper_2_b,RRT,True,32,True,1659,1659,False
stopper_2_a,RRT,True,32,False,-1,360,True
stopper_1_c,RRT,False,-1,False,-1,88,False
stopper_1_b,RRT,True,54,True,260,260,False
stopper_1_a,RRT,True,34,False,-1,192,True
size_6_c,RRT,True,149,False,-1,3001,True
size_6_b,RRT,True,85,False,-1,3001,True
size_6_a,RRT,True,52,False,-1,363,True
size_5_c,RRT,True,213,False,-1,3001,True
size_5_b,RRT,True,71,False,-1,486,True
size_5_a,RRT,True,46,False,-1,170,True
size_4_c,RRT,True,220,False,-1,3001,True
size_4_b,RRT,True,86,False,-1,582,True
size_4_a,RRT,True,36,False,-1,99,True
size_3_c,RRT,True,203,False,-1,3001,True
size_3_b,RRT,True,79,False,-1,1176,True
size_3_a,RRT,True,37,False,-1,117,True
size_2_c,RRT,True,110,False,-1,778,True
size_2_b,RRT,True,51,False,-1,96,True
size_2_a,RRT,True,29,False,-1,32,True
size_1_c,RRT,True,157,False,-1,3001,True
size_1_b,RRT,True,99,False,-1,3001,True
size_1_a,RRT,True,44,False,-1,185,True
porous_6_c,RRT,True,167,True,92,167,False
porous_6_b,RRT,True,158,False,-1,3001,True
porous_6_a,RRT,True,152,False,-1,3001,True
porous_5_c,RRT,True,91,True,89,91,False
porous_5_b,RRT,True,82,False,-1,431,True
porous_5_a,RRT,True,82,False,-1,1560,True
porous_4_c,RRT,True,48,True,139,139,False
porous_4_b,RRT,True,51,False,-1,3001,True
porous_4_a,RRT,True,113,False,-1,3001,True
porous_3_c,RRT,True,182,True,89,182,False
porous_3_b,RRT,True,72,False,-1,3001,True
porous_3_a,RRT,True,117,False,-1,3001,True
porous_2_c,RRT,True,68,True,154,154,False
porous_2_b,RRT,True,43,False,-1,3001,True
porous_2_a,RRT,True,54,False,-1,3001,True
porous_1_c,RRT,True,82,True,95,95,False
porous_1_b,RRT,True,78,False,-1,311,True
porous_1_a,RRT,True,79,False,-1,487,True
complex_6_c,RRT,True,898,False,-1,3001,True
complex_6_b,RRT,True,774,False,-1,3001,True
complex_6_a,RRT,False,-1,False,-1,188,False
complex_5_c,RRT,True,91,False,-1,3001,True
complex_5_b,RRT,True,65,False,-1,3001,True
complex_5_a,RRT,True,85,False,-1,3001,True
complex_4_c,RRT,True,112,False,-1,3001,True
complex_4_b,RRT,True,75,False,-1,281,True
complex_4_a,RRT,True,67,False,-1,3001,True
complex_3_c,RRT,True,143,False,-1,3001,True
complex_3_b,RRT,True,254,False,-1,3001,True
complex_3_a,RRT,True,145,False,-1,3001,True
complex_2_c,RRT,True,57,False,-1,3001,True
complex_2_b,RRT,True,55,False,-1,3001,True
complex_2_a,RRT,True,44,False,-1,3001,True
complex_1_c,RRT,True,96,False,-1,3001,True
complex_1_b,RRT,True,568,False,-1,3001,True
complex_1_a,RRT,True,130,False,-1,3001,True
